order_id,date,product_id,product_type,shipping_country,total_sales,net_sales,gross_sales,orders,items_sold,items_returned,return_rate,aov
-6318230000000.0,2026-08-01 00:00:00,,unknown,unknown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
,2026-04-01 00:00:00,,nan,unknown,150.260932,0.0,0.0,0.0,0.0,0.0,,0.0
6313290000000.0,2026-04-01 00:00:00,,unknown,india,150.260932,0.0,0.0,0.0,0.0,0.0,,0.0
,2026-02-01 00:00:00,,unknown,india,6560.0,0.0,0.0,0.0,0.0,0.0,,0.0
6317670000000.0,2026-08-01 00:00:00,,unknown,canada,6560.0,0.0,0.0,0.0,0.0,0.0,,0.0
6312540000000.0,2026-03-01 00:00:00,,unknown,spain,6560.0,0.0,0.0,0.0,0.0,0.0,,0.0
6309850000000.0,2026-01-01 00:00:00,,kaftan,singapore,3940.975346,3940.975346,5800.0,1.0,1.0,0.0,0.0,3940.975346
6317670000000.0,2026-08-01 00:00:00,8725100000000.0,boyfriend shirt,canada,6560.0,4246.895807,4246.895807,1.0,1.0,0.0,0.0,6560.0
827614770000000.0,2026-08-01 00:00:00,8725100000000.0,co-ord,canada,4750.764801,4750.764801,4750.764801,0.0,1.0,0.0,0.0,0.0
6315420000000.0,2026-06-01 00:00:00,8725100000000.0,co-ord,india,4750.764801,5520.0,4750.764801,0.0,1.0,0.0,0.0,0.0
826688600000000.0,2026-02-01 00:00:00,8725100000000.0,co-ord,india,6478.315638,6478.315638,5800.0,1.0,1.0,0.0,0.0,6478.315638
6318230000000.0,2026-08-01 00:00:00,8789250000000.0,kurta set,united arab emirates,6478.315638,6478.315638,6478.315638,144.0,55.0,0.0,0.0,44.98830304166667
6318230000000.0,2026-08-01 00:00:00,8724460000000.0,kurta,unknown,7126.147202,7126.147202,7126.147202,0.0,1.0,0.0,0.0,0.0
6315420000000.0,2026-06-01 00:00:00,8725100000000.0,co-ord,india,860032.391556,793305.740487,7414.072341,1.0,1.0,0.0,0.0,860032.391556
6310600000000.0,2026-02-01 00:00:00,8835880000000.0,kurta set,india,0.0,7917.941335,7917.941335,0.0,1.0,0.0,0.0,
6312540000000.0,2026-03-01 00:00:00,,dress,spain,7917.941335,7917.941335,5800.0,1.0,1.0,0.0,0.0,7917.941335
6318230000000.0,2026-08-01 00:00:00,817399320000000.0,unknown,united arab emirates,7917.941335,7917.941335,965988.84287,0.0,1.0,0.0,0.0,0.0
6315420000000.0,2026-06-01 00:00:00,8835880000000.0,kurta set,india,8637.754184,8637.754184,8637.754184,0.0,1.0,0.0,0.0,0.0
6313290000000.0,2026-04-01 00:00:00,8724450000000.0,dress,india,8637.754184,8637.754184,5800.0,1.0,1.0,0.0,0.0,8637.754184
6313290000000.0,2026-04-01 00:00:00,,co-ord,india,1085477.775828,9357.567033,9357.567033,0.0,1.0,0.0,0.0,0.0
6393250000000.0,2026-08-03 00:00:00,,unknown,india,17220.40068,0.0,0.0,0.0,0.0,0.0,,0.0
6392670000000.0,2026-08-03 00:00:00,,unknown,india,148.45173,0.0,5800.0,0.0,0.0,0.0,,0.0
6393250000000.0,2026-08-03 00:00:00,8724450000000.0,co-ord,india,11839.70856,1266848.81592,1444444.4443199998,144.0,1.0,0.0,0.0,82.22019833333333
832666130000000.0,2026-07-02 00:00:00,,nan,united kingdom,0.0,0.0,0.0,0.0,0.0,0.0,,
6353430000000.0,2026-04-02 00:00:00,,unknown,india,152.195838,0.0,0.0,0.0,0.0,0.0,,0.0
6356230000000.0,2026-07-02 00:00:00,8835880000000.0,stole,united kingdom,6560.0,5520.0,3667.369579,0.0,55.0,0.0,0.0,0.0
,2026-07-02 00:00:00,,co-ord,unknown,7756.48666,829944.07262,0.0,0.0,55.0,0.0,0.0,0.0
6357080000000.0,2026-07-02 00:00:00,0.0,co-ord,india,8111.304667,8111.304667,9011.643898,1.0,1.0,0.0,0.0,8111.304667
6357080000000.0,2026-07-02 00:00:00,8725100000000.0,co-ord,singapore,8499.129,5520.0,9443.476666,1.0,1.0,0.0,0.0,8499.129
6357080000000.0,2026-07-02 00:00:00,8725100000000.0,co-ord,singapore,9076.739708,9076.739708,10085.26634,0.0,1.0,0.0,0.0,0.0
6356230000000.0,2026-07-02 00:00:00,8835880000000.0,kurta set,united kingdom,9076.739708,5520.0,10085.26634,0.0,55.0,0.0,0.0,0.0
6356230000000.0,2026-07-02 00:00:00,8835880000000.0,kurta set,united kingdom,11552.21417,11552.21417,12835.79353,0.0,1.0,0.0,0.0,0.0
6357080000000.0,2026-07-02 00:00:00,,kurta set,singapore,6560.0,13202.53049,14669.47832,0.0,1.0,0.0,0.0,0.0
907040070000000.0,2026-06-01 00:00:00,,unknown,india,0.0,0.0,0.0,0.0,0.0,0.0,,
907797250000000.0,2026-09-01 00:00:00,,unknown,nan,0.0,0.0,0.0,0.0,0.0,0.0,,
6931510000000.0,2026-10-01 00:00:00,,nan,india,0.0,5520.0,0.0,0.0,0.0,0.0,,
6932050000000.0,2026-10-01 00:00:00,,unknown,india,0.0,0.0,0.0,0.0,0.0,0.0,,
6916550000000.0,2026-02-01 00:00:00,,unknown,india,6560.0,0.0,0.0,0.0,0.0,0.0,,0.0
6920070000000.0,2026-04-01 00:00:00,,unknown,india,0.0,0.0,0.0,0.0,0.0,0.0,,
6926280000000.0,2026-07-01 00:00:00,,unknown,india,0.0,0.0,5800.0,0.0,0.0,0.0,,
0.0,2026-02-01 00:00:00,,unknown,australia,4000.0,0.0,0.0,0.0,0.0,0.0,,0.0
0.0,2026-05-01 00:00:00,,unknown,mauritius,464000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6915620000000.0,2026-01-01 00:00:00,,unknown,saudi arabia,4000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6922020000000.0,2026-05-01 00:00:00,,unknown,unknown,4000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6923790000000.0,2026-06-01 00:00:00,,unknown,united states,4000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6931600000000.0,2026-10-01 00:00:00,,unknown,saudi arabia,11500.0,5500.0,5500.0,0.0,1.0,0.0,0.0,0.0
6929650000000.0,2026-09-01 00:00:00,,unknown,australia,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6929810000000.0,2026-09-01 00:00:00,,unknown,unknown,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6926670000000.0,2026-08-01 00:00:00,,nan,united arab emirates,6000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6929710000000.0,2026-09-01 00:00:00,,unknown,unknown,6560.0,64000.0,64000.0,0.0,1.0,0.0,0.0,0.0
905842730000000.0,2026-01-01 00:00:00,,unknown,united states,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0
,2026-02-01 00:00:00,,unknown,united states,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6921780000000.0,2026-05-01 00:00:00,,unknown,united states,6000.0,5520.0,0.0,0.0,0.0,0.0,,0.0
-6923280000000.0,2026-06-01 00:00:00,,unknown,united states,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6931970000000.0,2026-10-01 00:00:00,,unknown,united states,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0
6916930000000.0,2026-02-01 00:00:00,,unknown,australia,9500.0,9500.0,9500.0,0.0,-55.0,0.0,0.0,0.0
6919270000000.0,2026-03-01 00:00:00,742114890000000.0,handbag,india,1392000.0,12000.0,12000.0,0.0,1.0,0.0,0.0,0.0
6926000000000.0,2026-07-01 00:00:00,,unknown,saudi arabia,13000.0,13000.0,1586000.0,0.0,1.0,0.0,0.0,0.0
,2026-10-01 00:00:00,7856250000000.0,bag,india,6560.0,1819000.0,17000.0,1.0,1.0,0.0,0.0,6560.0
907313860000000.0,2026-07-01 00:00:00,,unknown,unknown,20250.0,20250.0,20250.0,0.0,1.0,0.0,0.0,0.0
-6923790000000.0,2026-06-01 00:00:00,,unknown,united states,25000.0,25000.0,25000.0,0.0,1.0,0.0,0.0,0.0
6926280000000.0,2026-07-01 00:00:00,566689920000000.0,saree,india,25900.0,25900.0,25900.0,1.0,1.0,0.0,0.0,25900.0
6923670000000.0,2026-06-01 00:00:00,,unknown,india,40000.0,40000.0,5800.0,1.0,1.0,0.0,0.0,40000.0
908042220000000.0,2026-10-01 00:00:00,7977750000000.0,sharara set,india,55000.0,55000.0,55000.0,1.0,1.0,0.0,0.0,55000.0
6931600000000.0,2026-10-01 00:00:00,7921150000000.0,dress,saudi arabia,55000.0,55000.0,55000.0,1.0,1.0,0.0,0.0,55000.0
6915620000000.0,2026-01-01 00:00:00,7670280000000.0,gown,unknown,58800.0,6291600.0,58800.0,1.0,1.0,0.0,0.0,58800.0
6920070000000.0,2026-04-01 00:00:00,7727500000000.0,saree,india,64200.0,5520.0,7832400.0,0.0,1.0,0.0,0.0,0.0
6925960000000.0,2026-07-01 00:00:00,7390460000000.0,lehenga,india,69500.0,69500.0,69500.0,144.0,55.0,0.0,0.0,482.6388888888889
,2026-02-01 00:00:00,7727500000000.0,anarkali set,united states,69500.0,69500.0,69500.0,1.0,1.0,0.0,0.0,69500.0
6929810000000.0,2026-09-01 00:00:00,7958160000000.0,lehenga,saudi arabia,75000.0,75000.0,75000.0,1.0,1.0,0.0,0.0,75000.0
6926670000000.0,2026-08-01 00:00:00,7977750000000.0,anarkali set,united arab emirates,8700000.0,8025000.0,75000.0,0.0,1.0,0.0,0.0,0.0
6923780000000.0,2026-06-01 00:00:00,736667880000000.0,anarkali set,united kingdom,8700000.0,75000.0,75000.0,1.0,1.0,0.0,0.0,8700000.0
6914830000000.0,2026-01-01 00:00:00,7921160000000.0,anarkali,united states,75000.0,75000.0,75000.0,1.0,1.0,0.0,0.0,75000.0
6929650000000.0,2026-09-01 00:00:00,-7727330000000.0,lehenga,australia,80000.0,0.0,9760000.0,0.0,1.0,0.0,0.0,0.0
,2026-09-01 00:00:00,7727330000000.0,lehenga,india,80000.0,80000.0,9760000.0,1.0,1.0,0.0,0.0,80000.0
6923790000000.0,2026-06-01 00:00:00,7921150000000.0,sharara set,united states,85000.0,85000.0,85000.0,1.0,0.0,0.0,,85000.0
6916950000000.0,2026-02-01 00:00:00,,unknown,australia,90000.0,90000.0,90000.0,1.0,-1.0,0.0,0.0,90000.0
6922440000000.0,2026-05-01 00:00:00,730156020000000.0,lehenga,india,90000.0,90000.0,90000.0,0.0,1.0,0.0,0.0,0.0
906117830000000.0,2026-02-01 00:00:00,7977750000000.0,saree,australia,95000.0,95000.0,95000.0,0.0,1.0,0.0,0.0,0.0
6923780000000.0,2026-06-01 00:00:00,7390500000000.0,lehenga,canada,95000.0,95000.0,95000.0,1.0,1.0,0.0,0.0,95000.0
6919270000000.0,2026-03-01 00:00:00,736667880000000.0,saree,india,95000.0,95000.0,11590000.0,1.0,55.0,0.0,0.0,95000.0
,2026-02-01 00:00:00,7921160000000.0,lehenga,india,95000.0,5520.0,-11590000.0,0.0,1.0,0.0,0.0,0.0
906792480000000.0,2026-05-01 00:00:00,7977750000000.0,unknown,unknown,95000.0,95000.0,95000.0,1.0,55.0,0.0,0.0,95000.0
6922020000000.0,2026-05-01 00:00:00,7977750000000.0,saree,united arab emirates,95000.0,95000.0,5800.0,144.0,1.0,0.0,0.0,659.7222222222222
6916620000000.0,2026-02-01 00:00:00,,lehenga,united states,11020000.0,5520.0,95000.0,1.0,1.0,0.0,0.0,11020000.0
6927570000000.0,2026-08-01 00:00:00,7977750000000.0,saree,united states,95000.0,95000.0,95000.0,1.0,1.0,0.0,0.0,95000.0
6933860000000.0,2026-11-01 00:00:00,7921160000000.0,sharara set,united states,120000.0,120000.0,120000.0,1.0,1.0,0.0,0.0,120000.0
6917300000000.0,2026-02-01 00:00:00,7424210000000.0,nan,india,125000.0,125000.0,125000.0,144.0,-55.0,0.0,0.0,868.0555555555555
6919260000000.0,2026-03-01 00:00:00,-7390670000000.0,lehenga,unknown,125000.0,125000.0,-125000.0,1.0,1.0,0.0,0.0,125000.0
907040070000000.0,2026-06-01 00:00:00,7977750000000.0,unknown,unknown,130000.0,130000.0,15860000.0,1.0,1.0,0.0,0.0,130000.0
